NDV_values,CRC_values,date,type
-0.0022492127,0.0,2019-01-10,525
-0.0021505377,0.0,2019-01-10,525
0.007324429,0.0,2019-01-10,525
0.0021486892,0.0,2019-01-10,525
-0.0061242343,0.0,2019-01-10,525
-0.00089285715,0.0,2019-01-10,525
-0.003987594,0.0,2019-01-10,525
-0.00090415915,0.0,2019-01-10,525
0.0013495276,0.0,2019-01-10,525
0.0012947777,0.0,2019-01-10,525
-0.0058743786,0.0,2019-01-10,526
-0.00463754,0.0,2019-01-10,526
-0.0068150843,0.0,2019-01-10,526
-0.003805899,0.0,2019-01-10,526
0.0012674271,0.0,2019-01-10,526
-0.007292616,0.0,2019-01-10,526
0.00042900044,0.0,2019-01-10,526
0.00086132647,0.0,2019-01-10,526
-0.0025996533,0.0,2019-01-10,526
0.0045454544,0.0,2019-01-10,526
-0.007565643,0.0,2019-01-10,527
-0.0013386881,0.0,2019-01-10,527
-0.003044802,0.0,2019-01-10,527
-0.0067234426,0.0,2019-01-10,527
-0.0070113936,0.0,2019-01-10,527
0.0033670033,0.0,2019-01-10,527
-0.0079716565,0.0,2019-01-10,527
-0.008322383,0.0,2019-01-10,527
-0.0022799817,0.0,2019-01-10,527
-0.0018034265,0.0,2019-01-10,527
-0.0013495276,0.0,2019-01-10,528
-0.0013398839,0.0,2019-01-10,528
-0.0017467249,0.0,2019-01-10,528
-0.0018066848,0.0,2019-01-10,528
-0.00543971,0.0,2019-01-10,528
0.00044863168,0.0,2019-01-10,528
-0.0077307867,0.0,2019-01-10,528
-0.00043725406,0.0,2019-01-10,528
0.004882379,0.0,2019-01-10,528
0.00087108015,0.0,2019-01-10,528
-0.0062953997,0.0,2019-01-10,529
-0.007221955,0.0,2019-01-10,529
-0.0022118457,0.0,2019-01-10,529
0.005076142,0.0,2019-01-10,529
-0.0009569378,0.0,2019-01-10,529
0.004703669,0.0,2019-01-10,529
-0.0014238254,0.0,2019-01-10,529
0.0019175456,0.0,2019-01-10,529
0.0,0.0,2019-01-10,529
-0.008178439,0.0,2019-01-10,529
0.006973501,0.0,2019-01-10,585
0.001226392,0.0,2019-01-10,585
-0.0017069008,0.0,2019-01-10,585
-0.0034860559,0.0,2019-01-10,585
-0.0022075055,0.0,2019-01-10,585
-0.0014866204,0.0,2019-01-10,585
-0.015337423,0.0,2019-01-10,585
-0.0064951936,0.0,2019-01-10,585
0.0032817628,0.0,2019-01-10,585
-0.0015313936,0.0,2019-01-10,585
0.0027027028,0.0,2019-01-10,586
