NDV_values,CRC_values,date,type
0.23199205,48.66607,2021-03-05,PP
0.22204387,66.77181,2021-03-05,PP
0.20254777,41.02898,2021-03-05,PP
0.22336769,49.780613,2021-03-05,PP
0.23404256,64.28549,2021-03-05,PP
0.21354933,51.771416,2021-03-05,PP
0.22559653,58.171333,2021-03-05,PP
0.24009325,59.008934,2021-03-05,PP
0.25506073,60.480568,2021-03-05,PP
0.24504592,67.79893,2021-03-05,PP
0.2151271,43.482315,2021-03-05,TT
0.19031142,47.365517,2021-03-05,TT
0.2035821,43.87428,2021-03-05,TT
0.19622642,41.12057,2021-03-05,TT
0.19703521,42.018257,2021-03-05,TT
0.18171926,32.417915,2021-03-05,TT
0.18720931,39.831738,2021-03-05,TT
0.19143413,48.35197,2021-03-05,TT
0.21049494,37.826702,2021-03-05,TT
0.19699596,42.050022,2021-03-05,TT
0.16228071,19.595272,2021-03-05,PP2
0.1799507,23.766735,2021-03-05,PP2
0.18762887,21.596373,2021-03-05,PP2
0.18699187,21.715319,2021-03-05,PP2
0.1995296,28.181856,2021-03-05,PP2
0.18477398,25.09212,2021-03-05,PP2
0.16715543,37.948586,2021-03-05,PP2
0.1831231,32.57991,2021-03-05,PP2
0.15863141,32.141827,2021-03-05,PP2
0.17891374,20.060057,2021-03-05,PP2
0.57104844,0.0,2021-04-29,PP
0.5744681,0.0,2021-04-29,PP
0.50992686,0.0,2021-04-29,PP
0.64499867,0.0,2021-04-29,PP
0.5414217,0.0,2021-04-29,PP
0.5581823,0.0,2021-04-29,PP
0.56299317,0.0,2021-04-29,PP
0.62971115,0.0,2021-04-29,PP
0.693033,0.0,2021-04-29,PP
0.6208605,0.0,2021-04-29,PP
0.16540404,0.0,2021-04-29,TT
0.16350275,0.0,2021-04-29,TT
0.16267648,0.0,2021-04-29,TT
0.1607362,0.0,2021-04-29,TT
0.15207945,0.0,2021-04-29,TT
0.1615566,0.0,2021-04-29,TT
0.15828678,0.0,2021-04-29,TT
0.16037151,0.0,2021-04-29,TT
0.16221255,0.0,2021-04-29,TT
0.15342632,0.0,2021-04-29,TT
0.14681725,0.0,2021-04-29,PP2
0.16122343,0.0,2021-04-29,PP2
0.15164597,0.0,2021-04-29,PP2
0.1564482,0.0,2021-04-29,PP2
0.16033755,0.0,2021-04-29,PP2
0.16702355,0.0,2021-04-29,PP2
0.15783954,0.0,2021-04-29,PP2
0.17615467,0.0,2021-04-29,PP2
0.17497231,0.0,2021-04-29,PP2
0.15482503,0.0,2021-04-29,PP2
0.74078596,0.0,2021-05-14,PP
0.7455593,0.0,2021-05-14,PP
0.70141125,0.0,2021-05-14,PP
0.76739657,0.0,2021-05-14,PP
0.70488536,0.0,2021-05-14,PP
0.74115366,0.0,2021-05-14,PP
0.73379517,0.0,2021-05-14,PP
0.76841086,0.0,2021-05-14,PP
0.78701544,0.0,2021-05-14,PP
0.7665645,0.0,2021-05-14,PP
0.25830653,30.969774,2021-05-14,TT
0.2382892,26.525505,2021-05-14,TT
0.25799793,31.389668,2021-05-14,TT
0.2510288,29.863054,2021-05-14,TT
0.24312897,30.01431,2021-05-14,TT
0.2437312,33.286774,2021-05-14,TT
0.25380978,30.310932,2021-05-14,TT
0.23695198,27.057327,2021-05-14,TT
0.24335591,28.860268,2021-05-14,TT
0.23819198,29.43293,2021-05-14,TT
0.16017699,11.768692,2021-05-14,PP2
0.1758191,12.013163,2021-05-14,PP2
0.16953088,13.173062,2021-05-14,PP2
0.15799004,10.805848,2021-05-14,PP2
0.15574151,11.993841,2021-05-14,PP2
0.16412391,12.462836,2021-05-14,PP2
0.16742909,11.952598,2021-05-14,PP2
0.18658479,15.53003,2021-05-14,PP2
0.1780029,14.789958,2021-05-14,PP2
0.16848816,10.200337,2021-05-14,PP2
0.6290276,0.0,2021-05-29,PP
0.59196556,0.0,2021-05-29,PP
0.6652881,0.0,2021-05-29,PP
0.60023975,0.0,2021-05-29,PP
0.63336134,0.0,2021-05-29,PP
0.621285,0.0,2021-05-29,PP
0.63153386,0.0,2021-05-29,PP
0.67229056,0.0,2021-05-29,PP
0.622361,0.0,2021-05-29,PP
0.6701389,0.0,2021-05-29,PP
0.5205479,0.0,2021-05-29,TT
0.46583295,0.0,2021-05-29,TT
0.5472036,0.0,2021-05-29,TT
0.515233,0.0,2021-05-29,TT
0.5125057,0.0,2021-05-29,TT
0.5048544,0.0,2021-05-29,TT
0.4979424,0.0,2021-05-29,TT
0.50586116,0.0,2021-05-29,TT
0.49434644,0.0,2021-05-29,TT
0.49063337,0.0,2021-05-29,TT
0.35597283,0.0,2021-05-29,PP2
0.4292723,0.0,2021-05-29,PP2
0.43638623,0.0,2021-05-29,PP2
0.31423897,0.0,2021-05-29,PP2
0.3577371,0.0,2021-05-29,PP2
0.39285713,0.0,2021-05-29,PP2
0.3778327,0.0,2021-05-29,PP2
0.4801688,0.0,2021-05-29,PP2
0.3814346,0.0,2021-05-29,PP2
0.4127764,0.0,2021-05-29,PP2
0.15181518,57.806564,2021-07-08,PP
0.13047211,56.555466,2021-07-08,PP
0.13639906,60.743183,2021-07-08,PP
0.15498155,68.57515,2021-07-08,PP
