точка;культура;вес;тара;%
586;озимая пшеница;317;146;100
586;озимая пшеница;302;146;97
586;озимая пшеница;286;144;93
586;озимая пшеница;299;144;97
527;озимая пшеница;205;146;75
527;озимая пшеница;180;146;35
527;озимая пшеница;220;146;75
527;озимая пшеница;304;146;90
528;озимая пшеница;180;146;35
528;озимая пшеница;176;146;85
528;озимая пшеница;218;146;80
528;озимая пшеница;250;146;75
526;озимая пшеница;201;144;65
526;озимая пшеница;240;144;85
526;озимая пшеница;280;144;85
526;озимая пшеница;270;144;90
525;озимая пшеница;196;144;65
525;озимая пшеница;227;144;85
525;озимая пшеница;165;144;35
525;озимая пшеница;202;144;65
587;подсолнух;219;144;35
587;подсолнух;263;144;45
587;подсолнух;210;144;35
587;подсолнух;273;144;60
588;подсолнух;195;144;30
588;подсолнух;220;144;40
588;подсолнух;215;144;30
588;подсолнух;220;144;35
