farmer_land_name,fieldID,Dates,NDVI
Aleksandr,0,2018_10_16,0.2412
Aleksandr,1,2018_10_16,0.2805
Aleksandr,2,2018_10_16,0.2468
Aleksandr,3,2018_10_16,0.2199
Aleksandr,4,2018_10_16,0.231
Aleksandr,5,2018_10_16,0.2134
Aleksandr,6,2018_10_16,0.2028333333333333
Aleksandr,7,2018_10_16,0.2412
Aleksandr,8,2018_10_16,0.2606
Aleksandr,9,2018_10_16,0.239
Aleksandr,10,2018_10_16,0.2228
Aleksandr,11,2018_10_16,0.2356
Aleksandr,12,2018_10_16,0.2249
Aleksandr,13,2018_10_16,0.2422
Aleksandr,14,2018_10_16,0.2546
Aleksandr,15,2018_10_16,0.228
Aleksandr,16,2018_10_16,0.2175
Aleksandr,17,2018_10_16,0.23440000000000005
Aleksandr,18,2018_10_16,0.2267
Aleksandr,19,2018_10_16,0.2058345628415301
Aleksandr,20,2018_10_16,0.2216
Aleksandr,21,2018_10_16,0.2186347885402456
Aleksandr,22,2018_10_16,0.2135
Aleksandr,23,2018_10_16,0.2113
Aleksandr,24,2018_10_16,0.2213
Aleksandr,25,2018_10_16,0.2180748344370861
Aleksandr,26,2018_10_16,0.2131333333333333
Aleksandr,27,2018_10_16,0.239
Aleksandr,28,2018_10_16,0.2195
Aleksandr,29,2018_10_16,0.2167
Aleksandr,30,2018_10_16,0.2166
Aleksandr,31,2018_10_16,0.2154
Aleksandr,32,2018_10_16,0.2226
Aleksandr,33,2018_10_16,0.2212
Aleksandr,34,2018_10_16,0.2226
Aleksandr,35,2018_10_16,0.2167
Aleksandr,36,2018_10_16,0.2205
Aleksandr,37,2018_10_16,0.222
Aleksandr,38,2018_10_16,0.2177
Aleksandr,39,2018_10_16,0.22
Aleksandr,40,2018_10_16,0.2624
Aleksandr,41,2018_10_16,0.2221
Aleksandr,42,2018_10_16,0.2191
Aleksandr,43,2018_10_16,0.2418
Aleksandr,44,2018_10_16,0.2397
Aleksandr,45,2018_10_16,0.2529
Aleksandr,46,2018_10_16,0.27080000000000004
Aleksandr,47,2018_10_16,0.2097
Aleksandr,48,2018_10_16,0.2365
Aleksandr,49,2018_10_16,0.228
Aleksandr,50,2018_10_16,0.2312
Aleksandr,51,2018_10_16,0.2242
Aleksandr,52,2018_10_16,0.2243
Aleksandr,53,2018_10_16,0.2317
Aleksandr,54,2018_10_16,0.23199999999999998
Aleksandr,0,2018_11_01,0.2366
Aleksandr,1,2018_11_01,0.29300000000000004
Aleksandr,2,2018_11_01,0.2523
Aleksandr,3,2018_11_01,0.2269
Aleksandr,4,2018_11_01,0.2431
Aleksandr,5,2018_11_01,0.2195
Aleksandr,6,2018_11_01,0.2128
Aleksandr,7,2018_11_01,0.2421
Aleksandr,8,2018_11_01,0.2592
Aleksandr,9,2018_11_01,0.242
Aleksandr,10,2018_11_01,0.22399999999999998
Aleksandr,11,2018_11_01,0.2508
Aleksandr,12,2018_11_01,0.231
Aleksandr,13,2018_11_01,0.2427
Aleksandr,14,2018_11_01,0.2495
Aleksandr,15,2018_11_01,0.2328
Aleksandr,16,2018_11_01,0.2254
Aleksandr,17,2018_11_01,0.2383
Aleksandr,18,2018_11_01,0.2363
Aleksandr,19,2018_11_01,0.2144
Aleksandr,20,2018_11_01,0.2337
Aleksandr,21,2018_11_01,0.22324341818181825
Aleksandr,22,2018_11_01,0.2158
Aleksandr,23,2018_11_01,0.2341
Aleksandr,24,2018_11_01,0.2398
Aleksandr,25,2018_11_01,0.2365
Aleksandr,26,2018_11_01,0.2198
Aleksandr,27,2018_11_01,0.2432
Aleksandr,28,2018_11_01,0.236
Aleksandr,29,2018_11_01,0.21899999999999997
Aleksandr,30,2018_11_01,0.2261
Aleksandr,31,2018_11_01,0.2223
Aleksandr,32,2018_11_01,0.2304
Aleksandr,33,2018_11_01,0.2199
Aleksandr,34,2018_11_01,0.2223
Aleksandr,35,2018_11_01,0.2168
Aleksandr,36,2018_11_01,0.2219
Aleksandr,37,2018_11_01,0.23399999999999999
Aleksandr,38,2018_11_01,0.2145
Aleksandr,39,2018_11_01,0.2133
Aleksandr,40,2018_11_01,0.2254
Aleksandr,41,2018_11_01,0.2313
Aleksandr,42,2018_11_01,0.2508
Aleksandr,43,2018_11_01,0.2425
Aleksandr,44,2018_11_01,0.2521
Aleksandr,45,2018_11_01,0.2529
Aleksandr,46,2018_11_01,0.2649
Aleksandr,47,2018_11_01,0.2231
Aleksandr,48,2018_11_01,0.2415
Aleksandr,49,2018_11_01,0.2401
Aleksandr,50,2018_11_01,0.2289
Aleksandr,51,2018_11_01,0.226
Aleksandr,52,2018_11_01,0.2205
Aleksandr,53,2018_11_01,0.2492
Aleksandr,54,2018_11_01,0.2508
Aleksandr,0,2018_11_17,0.2433
Aleksandr,1,2018_11_17,0.256
Aleksandr,2,2018_11_17,0.2304
Aleksandr,3,2018_11_17,0.2278
Aleksandr,4,2018_11_17,0.2329
Aleksandr,5,2018_11_17,0.22399999999999998
Aleksandr,6,2018_11_17,0.22510000000000005
Aleksandr,7,2018_11_17,0.2175
Aleksandr,8,2018_11_17,0.2529
Aleksandr,9,2018_11_17,0.2143
Aleksandr,10,2018_11_17,0.2287
Aleksandr,11,2018_11_17,0.2118
Aleksandr,12,2018_11_17,0.2306
Aleksandr,13,2018_11_17,0.2273
Aleksandr,14,2018_11_17,0.22315
Aleksandr,15,2018_11_17,0.2133
Aleksandr,16,2018_11_17,0.2054
Aleksandr,17,2018_11_17,0.2106
Aleksandr,18,2018_11_17,0.2061
Aleksandr,19,2018_11_17,0.2242484076433121
Aleksandr,20,2018_11_17,0.2028
Aleksandr,21,2018_11_17,0.2264
Aleksandr,22,2018_11_17,0.2098
Aleksandr,23,2018_11_17,0.2184
Aleksandr,24,2018_11_17,0.2338
Aleksandr,25,2018_11_17,0.2347665354330709
Aleksandr,26,2018_11_17,0.1887
Aleksandr,27,2018_11_17,0.2227
Aleksandr,28,2018_11_17,0.1836
Aleksandr,29,2018_11_17,0.2147
Aleksandr,30,2018_11_17,0.22699999999999998
Aleksandr,31,2018_11_17,0.2408
Aleksandr,32,2018_11_17,0.1995
Aleksandr,33,2018_11_17,0.2257
Aleksandr,34,2018_11_17,0.2023
Aleksandr,35,2018_11_17,0.228
Aleksandr,36,2018_11_17,0.2007
Aleksandr,37,2018_11_17,0.2113
Aleksandr,38,2018_11_17,0.2115
Aleksandr,39,2018_11_17,0.1962
Aleksandr,40,2018_11_17,0.2419
Aleksandr,41,2018_11_17,0.2257
Aleksandr,42,2018_11_17,0.1963
Aleksandr,43,2018_11_17,0.2267
Aleksandr,44,2018_11_17,0.2474
Aleksandr,45,2018_11_17,0.2239
Aleksandr,46,2018_11_17,0.2209
Aleksandr,47,2018_11_17,0.2214
Aleksandr,48,2018_11_17,0.2171
Aleksandr,49,2018_11_17,0.206
Aleksandr,50,2018_11_17,0.1962
Aleksandr,51,2018_11_17,0.2014
Aleksandr,52,2018_11_17,0.1981
Aleksandr,53,2018_11_17,0.215
Aleksandr,54,2018_11_17,0.2226
Aleksandr,0,2018_12_03,0.2702
Aleksandr,1,2018_12_03,0.3007
Aleksandr,2,2018_12_03,0.2679
Aleksandr,3,2018_12_03,0.25630000000000003
Aleksandr,4,2018_12_03,0.2494
Aleksandr,5,2018_12_03,0.2357
Aleksandr,6,2018_12_03,0.2582
Aleksandr,7,2018_12_03,0.2541
Aleksandr,8,2018_12_03,0.2488
Aleksandr,9,2018_12_03,0.2349
Aleksandr,10,2018_12_03,0.2745
Aleksandr,11,2018_12_03,0.2145
Aleksandr,12,2018_12_03,0.2119
Aleksandr,13,2018_12_03,0.2142
Aleksandr,14,2018_12_03,0.2064
Aleksandr,15,2018_12_03,0.2039
Aleksandr,16,2018_12_03,0.2069
Aleksandr,17,2018_12_03,0.2434
Aleksandr,18,2018_12_03,0.218
Aleksandr,19,2018_12_03,0.2307177884615385
Aleksandr,20,2018_12_03,0.1896
Aleksandr,21,2018_12_03,0.221
Aleksandr,22,2018_12_03,0.2227
Aleksandr,23,2018_12_03,0.23440000000000005
Aleksandr,24,2018_12_03,0.2511
Aleksandr,25,2018_12_03,0.2012
Aleksandr,26,2018_12_03,0.1876
Aleksandr,27,2018_12_03,0.24070000000000005
Aleksandr,28,2018_12_03,0.1925
Aleksandr,29,2018_12_03,0.2284
Aleksandr,30,2018_12_03,0.2037
Aleksandr,31,2018_12_03,0.1906
Aleksandr,32,2018_12_03,0.1978
Aleksandr,33,2018_12_03,0.2151
Aleksandr,34,2018_12_03,0.2056
Aleksandr,35,2018_12_03,0.23399999999999999
Aleksandr,36,2018_12_03,0.2028
Aleksandr,37,2018_12_03,0.2369
Aleksandr,38,2018_12_03,0.2515
Aleksandr,39,2018_12_03,0.2113
Aleksandr,40,2018_12_03,0.2446
Aleksandr,41,2018_12_03,0.2559
Aleksandr,42,2018_12_03,0.2705
Aleksandr,43,2018_12_03,0.262
Aleksandr,44,2018_12_03,0.2457
Aleksandr,45,2018_12_03,0.245
Aleksandr,46,2018_12_03,0.2387
Aleksandr,47,2018_12_03,0.2584
Aleksandr,48,2018_12_03,0.237
Aleksandr,49,2018_12_03,0.2384
Aleksandr,50,2018_12_03,0.2187
Aleksandr,51,2018_12_03,0.203
Aleksandr,52,2018_12_03,0.24070000000000005
Aleksandr,53,2018_12_03,0.2464
Aleksandr,54,2018_12_03,0.2361
Aleksandr,0,2018_12_19,0.2047
Aleksandr,1,2018_12_19,0.25
Aleksandr,2,2018_12_19,0.1978
Aleksandr,3,2018_12_19,0.185
Aleksandr,4,2018_12_19,0.0967
Aleksandr,5,2018_12_19,0.0917
Aleksandr,6,2018_12_19,0.20608310810810807
Aleksandr,7,2018_12_19,0.2148
Aleksandr,8,2018_12_19,0.1039
Aleksandr,9,2018_12_19,0.08199999999999999
Aleksandr,10,2018_12_19,0.0834
Aleksandr,11,2018_12_19,0.075
Aleksandr,12,2018_12_19,0.0693
Aleksandr,13,2018_12_19,0.0585
Aleksandr,14,2018_12_19,0.08850000000000001
Aleksandr,15,2018_12_19,0.0944
Aleksandr,16,2018_12_19,0.1376
Aleksandr,17,2018_12_19,0.2072
Aleksandr,18,2018_12_19,0.0789
Aleksandr,19,2018_12_19,0.17383769799366422
Aleksandr,20,2018_12_19,0.1965
Aleksandr,21,2018_12_19,0.1519
Aleksandr,22,2018_12_19,0.23
Aleksandr,23,2018_12_19,0.0717
Aleksandr,24,2018_12_19,0.0649
Aleksandr,25,2018_12_19,0.16673593750000004
Aleksandr,26,2018_12_19,0.1579
Aleksandr,27,2018_12_19,0.2339
Aleksandr,28,2018_12_19,0.1873
Aleksandr,29,2018_12_19,0.1539
Aleksandr,30,2018_12_19,0.1607
Aleksandr,31,2018_12_19,0.0948
Aleksandr,32,2018_12_19,0.15330000000000002
Aleksandr,33,2018_12_19,0.1689
Aleksandr,34,2018_12_19,0.16340000000000002
Aleksandr,35,2018_12_19,0.17400000000000002
Aleksandr,36,2018_12_19,0.1922
Aleksandr,37,2018_12_19,0.2237
Aleksandr,38,2018_12_19,0.2077
Aleksandr,39,2018_12_19,0.1661
Aleksandr,40,2018_12_19,0.2647
Aleksandr,41,2018_12_19,0.2526
Aleksandr,42,2018_12_19,0.1968
Aleksandr,43,2018_12_19,0.1147
Aleksandr,44,2018_12_19,0.08170000000000001
Aleksandr,45,2018_12_19,0.1
Aleksandr,46,2018_12_19,0.1007
Aleksandr,47,2018_12_19,0.119
Aleksandr,48,2018_12_19,0.1597
Aleksandr,49,2018_12_19,0.1937
Aleksandr,50,2018_12_19,0.2394
Aleksandr,51,2018_12_19,0.2085
Aleksandr,52,2018_12_19,0.2143
Aleksandr,53,2018_12_19,0.1977
Aleksandr,54,2018_12_19,0.26880000000000004
Aleksandr,0,2019_01_01,-0.0149
Aleksandr,1,2019_01_01,-0.0047
Aleksandr,2,2019_01_01,-0.0018000000000000004
Aleksandr,3,2019_01_01,-0.0085
Aleksandr,4,2019_01_01,-0.0108
Aleksandr,5,2019_01_01,-0.0094
Aleksandr,6,2019_01_01,-0.0145
Aleksandr,7,2019_01_01,-0.0131
Aleksandr,8,2019_01_01,-0.0031000000000000003
Aleksandr,9,2019_01_01,-0.006200000000000001
Aleksandr,10,2019_01_01,-0.0089
Aleksandr,11,2019_01_01,-0.0071
Aleksandr,12,2019_01_01,-0.0107
Aleksandr,13,2019_01_01,-0.008
Aleksandr,14,2019_01_01,-0.006200000000000001
Aleksandr,15,2019_01_01,-0.006200000000000001
Aleksandr,16,2019_01_01,-0.0092
Aleksandr,17,2019_01_01,-0.0093
Aleksandr,18,2019_01_01,-0.0104
Aleksandr,19,2019_01_01,-0.0159
Aleksandr,20,2019_01_01,-0.0097
Aleksandr,21,2019_01_01,-0.0096
Aleksandr,22,2019_01_01,-0.0037
Aleksandr,23,2019_01_01,-0.0078
Aleksandr,24,2019_01_01,-0.013
Aleksandr,25,2019_01_01,-0.0146
Aleksandr,26,2019_01_01,-0.0105
Aleksandr,27,2019_01_01,-0.0053
Aleksandr,28,2019_01_01,-0.0099
Aleksandr,29,2019_01_01,-0.0149
Aleksandr,30,2019_01_01,-0.013
Aleksandr,31,2019_01_01,-0.0116
Aleksandr,32,2019_01_01,-0.0043
Aleksandr,33,2019_01_01,-0.0128
Aleksandr,34,2019_01_01,-0.0059
Aleksandr,35,2019_01_01,-0.011
Aleksandr,36,2019_01_01,-0.0072000000000000015
Aleksandr,37,2019_01_01,-0.0076
Aleksandr,38,2019_01_01,-0.0118
Aleksandr,39,2019_01_01,-0.0075000000000000015
Aleksandr,40,2019_01_01,-0.0096
Aleksandr,41,2019_01_01,-0.0105
Aleksandr,42,2019_01_01,-0.0114
