Год,GPS №,Тип обработки,Глубина,повторность,"рН солевой вытяжки, ед. рН","рН водной вытяжки, ед. рН","Фосфор (подвижная форма), мг/кг","Калий (подвижная форма), млн-1","Общий азот, %","Общий углерод, %","М.д. содержания  гипса (по Хитрову), %","Массовая доля иона хлорида, ммоль/100 г","Массовая доля иона сульфата, ммоль/100 г","Массовая доля магния (водорастворимая форма), ммоль/100 г почвы","Массовая доля кальция (водорастворимая форма), ммоль/100 г почвы","Массовая доля натрия (водорастворимая форма), мг•экв на 100 г почвы","Массовая доля калия (водорастворимая форма), мг•экв на 100 г почвы","Сумма поглощенных оснований по Каппену, ммоль/100 г","Массовая доля плотного остатка водной вытяжки, %","Карбонат и бикарбонат-ионы, ммоль/100 г","Массовая доля общего содержания карбонатов (по Козловскому), % (CO2)","Массовая доля общего содержания карбонатов (по Козловскому), %(CaCO3)","Органический углерод, %"
2021,584,ТТ,0-10,[0],6.69,8.73,23.4,366.273656,0.13,1.6971,0.6573333333333333,0.17341040462427804,0.19444444444444448,0.09307083333333332,0.3689475,3.1078750000000015e-05,0.0005518109999999999,24.700000000000003,0.09000000000000341,0.03355,1.3090000000000002,2.976666,1.3401
2021,584,ТТ,10-20,[0],6.73,8.71,21.0,332.802456,0.13,1.6696,1.1933333333333336,0.2167630057803469,0.1388888888888889,0.09250416666666668,0.33399749999999995,2.9152500000000013e-05,0.00051909,24.55,0.06799999999998363,0.0305,1.54,3.50196,1.2496
2021,584,ТТ,20-30,[0],6.81,8.91,12.6,283.751496,0.1,1.518,1.1957333333333338,0.17341040462427748,0.0888888888888889,0.09858333333333333,0.3924225,3.6593000000000014e-05,0.00030242549999999995,24.6,0.11399999999994748,0.02745,1.804,4.102296,1.026
2021,584,ТТ,30-40,[0],6.87,8.66,8.399999999999999,214.48537599999997,0.09,1.4815,1.0586666666666669,0.3034682080924854,0.16666666666666669,0.11645833333333333,0.34159750000000005,0.00010900850000000002,0.0001919775,24.55,0.05800000000007799,0.03355,2.992,6.803808,0.6655000000000001
2021,584,ТТ,40-50,[0],6.87,8.77,7.399999999999999,200.28299199999995,0.08,1.4257,1.0613333333333337,0.17341040462427734,0.11111111111111112,0.10429583333333332,0.3160725,9.55305e-05,0.000149877,24.65,0.07000000000005002,0.02745,2.398,5.453052,0.7716999999999999
2021,584,ТТ,50-70,[0],7.15,8.79,8.399999999999999,198.652776,0.06,1.3916,0.9266666666666667,0.2167630057803468,0.1388888888888889,0.14180416666666665,0.5612975000000001,0.00014480800000000004,0.00016405349999999998,24.700000000000003,0.07599999999996497,0.0305,2.398,5.453052,0.7375999999999999
2021,584,ТТ,70-90,[0],7.2,8.74,8.2,194.93000800000002,0.06,1.0273,1.0613333333333337,0.2167630057803468,0.11111111111111112,0.1343125,0.2621975,0.00016469150000000002,0.000196287,24.75,0.06816666666666768,0.03355,1.7379999999999998,3.9522120000000003,0.5533000000000001
2021,584,ТТ,90-110,[0],7.09,8.56,13.4,205.936976,0.07,0.7109,1.1920000000000004,0.17341040462427734,0.16666666666666669,0.16397499999999998,0.28154749999999995,0.000187795,0.000246909,24.85,0.05625000000000213,0.02745,1.3419999999999999,3.051708,0.3449
2021,584,ТТ,110-130,[0],7.1,8.78,14.8,178.30999199999997,0.06,0.3286,1.0586666666666669,0.2167630057803468,0.16666666666666669,0.14198333333333335,0.235645,0.000128294,0.0001859325,24.4,0.06060000000000796,0.0244,0.7260000000000002,1.6509240000000005,0.13059999999999994
2021,584,ТТ,130-150,[0],7.16,8.75,19.0,165.258632,0.07,0.1966,0.9273333333333336,0.2384393063583816,0.125,0.14411041666666666,0.2190075,0.00010797925,0.00017085899999999998,24.71,0.07033333333332338,0.0244,0.6710000000000002,1.5258540000000005,0.013599999999999973
2021,584,ТТ,150-170,[0],7.23,8.97,16.4,164.931144,0.06,0.3039,0.66,0.3034682080924854,0.1388888888888889,0.12330416666666667,0.21422,0.00010083200000000001,0.000263055,23.95,0.055499999999995,0.0244,0.7039999999999998,1.6008959999999997,0.11190000000000003
2021,584,ТТ,170-190,[0],7.25,8.89,22.2,164.548272,0.06,0.2413,0.9253333333333332,0.2167630057803468,0.16666666666666669,0.13974166666666665,0.217335,0.00015167350000000002,0.00021867299999999998,22.75,0.09033333333332412,0.0244,0.5939999999999999,1.3507559999999996,0.07930000000000004
2021,584,ТТ,0-10,[1],7.18,8.55,23.6,339.88197599999995,0.13,1.3921,0.5280000000000001,0.2601156069364161,0.11111111111111112,0.09841666666666668,0.3844725,8.15925e-05,0.0005178225,24.700000000000003,0.06816666666666768,0.03355,1.1879999999999995,2.7015119999999992,1.0681
2021,584,ТТ,10-20,[1],7.2,8.58,15.4,324.326296,0.13,1.4282,0.9266666666666667,0.17341040462427734,0.1388888888888889,0.09693749999999997,0.3580975,8.943550000000001e-05,0.0004550325,24.65,0.06816666666666768,0.03355,1.144,2.601456,1.1162
