GPS №,Тип обработки,Год,Глубина,"рН солевой вытяжки, ед. рН","рН водной вытяжки, ед. рН","Фосфор (подвижная форма), мг/кг","Калий (подвижная форма), млн-1","Общий азот, %","Общий углерод, %","Массовая доля общего содержания карбонатов (по Козловскому), % (CO2)","Органический углерод, %"
584,ТТ,2021,0-10,6.69,8.73,23.4,366.273656,0.13,1.6971,1.3090000000000002,1.3401
584,ТТ,2021,10-20,6.73,8.71,21.0,332.802456,0.13,1.6696,1.54,1.2496
584,ТТ,2021,20-30,6.81,8.91,12.6,283.751496,0.1,1.518,1.804,1.026
584,ТТ,2021,0-10,7.18,8.55,23.6,339.88197599999995,0.13,1.3921,1.1879999999999995,1.0681
584,ТТ,2021,10-20,7.2,8.58,15.4,324.326296,0.13,1.4282,1.1440000000000001,1.1161999999999999
584,ТТ,2021,20-30,7.24,8.63,11.8,267.112216,0.12,1.38,1.364,1.0079999999999998
584,ТТ,2021,0-10,7.32,8.68,13.0,242.47837599999997,0.11,1.5871,2.31,0.9571
584,ТТ,2021,10-20,7.34,8.79,8.6,167.567904,0.07,1.7053,2.7939999999999996,0.9433000000000002
584,ТТ,2021,20-30,7.5,8.73,8.0,156.910096,0.07,1.7359,2.64,1.0159
584,ТТ,2021,0-10,7.43,8.36,19.2,290.277176,0.1,1.5447,2.244,0.9326999999999999
584,ТТ,2021,10-20,7.36,8.9,8.399999999999999,195.73187199999995,0.09,1.696,2.255,1.081
584,ТТ,2021,20-30,7.45,8.35,10.2,193.829552,0.09,1.6580000000000001,2.4199999999999995,0.9980000000000003
584,ТТ,2021,0-10,7.38,8.2,25.6,421.24829599999987,0.15,1.5607,1.2099999999999995,1.2307000000000001
584,ТТ,2021,10-20,7.36,8.39,16.799999999999994,317.511656,0.12,1.2664,1.2759999999999998,0.9184000000000001
584,ТТ,2021,20-30,7.24,8.58,9.2,233.97813599999998,0.09,1.1295,1.9799999999999995,0.5895
585,ТТ,2021,0-10,7.24,,24.8,387.92157599999985,0.15,1.4779,0.9899999999999995,1.2079
585,ТТ,2021,10-20,7.23,8.26,17.4,355.052376,0.16,1.4757,0.7699999999999996,1.2657
585,ТТ,2021,20-30,7.28,8.01,20.8,330.707496,0.17,1.5485,0.9239999999999998,1.2965
585,ТТ,2021,0-10,6.87,8.03,16.0,319.58253599999995,0.14,1.3374,1.3199999999999996,0.9774
585,ТТ,2021,10-20,6.96,8.16,12.2,231.218568,0.14,1.4004,1.3859999999999997,1.0224000000000002
585,ТТ,2021,20-30,7.07,7.95,11.4,177.59481599999998,0.13,1.571,2.772,0.8150000000000001
585,ТТ,2021,0-10,,,27.4,409.400936,0.16,1.4592,1.3969999999999996,1.0782000000000003
585,ТТ,2021,10-20,7.12,7.96,7.8,267.064056,0.14,1.5442,1.7819999999999996,1.0582000000000003
585,ТТ,2021,20-30,7.14,8.0,9.6,244.452936,0.15,1.5223,2.2880000000000003,0.8982999999999999
585,ТТ,2021,0-10,7.2,7.94,21.2,402.63445599999983,0.15,1.5589,1.3199999999999996,1.1989
585,ТТ,2021,10-20,7.16,7.92,17.4,376.89293599999996,0.16,1.5628,1.4079999999999997,1.1788
585,ТТ,2021,20-30,7.11,7.97,11.8,340.098696,0.15,1.5046,1.3859999999999997,1.1266
