Год	GPS №	Тип обработки	Глубина	повторность	рН солевой вытяжки, ед. рН	рН водной вытяжки, ед. рН	Фосфор (подвижная форма), мг/кг	Калий (подвижная форма), млн-1	Общий азот, %	Общий углерод, %	М.д. содержания  гипса (по Хитрову), %	Массовая доля иона хлорида, ммоль/100 г	Массовая доля иона сульфата, ммоль/100 г	Массовая доля магния (водорастворимая форма), ммоль/100 г почвы	Массовая доля кальция (водорастворимая форма), ммоль/100 г почвы	Массовая доля натрия (водорастворимая форма), мг•экв на 100 г почвы	Массовая доля калия (водорастворимая форма), мг•экв на 100 г почвы	Сумма поглощенных оснований по Каппену, ммоль/100 г	Массовая доля плотного остатка водной вытяжки, %	Карбонат и бикарбонат-ионы, ммоль/100 г	Массовая доля общего содержания карбонатов (по Козловскому), % (CO2)	Массовая доля общего содержания карбонатов (по Козловскому), %(CaCO3)	Органический углерод, %
2021	584	ТТ	0-10	[0]	6.69	8.73	23.4	366.273656	0.13	1.6971	0.657333333	0.173410405	0.194444444	0.093070833	0.3689475	3.11E-05	0.000551811	24.7	0.09	0.03355	1.309	2.976666	1.3401
2021	584	ТТ	окт.20	[0]	6.73	8.71	21	332.802456	0.13	1.6696	1.193333333	0.216763006	0.138888889	0.092504167	0.3339975	2.92E-05	0.00051909	24.55	0.068	0.0305	1.54	3.50196	1.2496
2021	584	ТТ	20-30	[0]	6.81	8.91	12.6	283.751496	0.1	1.518	1.195733333	0.173410405	0.088888889	0.098583333	0.3924225	3.66E-05	0.000302425	24.6	0.114	0.02745	1.804	4.102296	1.026
2021	584	ТТ	30-40	[0]	6.87	8.66	8.4	214.485376	0.09	1.4815	1.058666667	0.303468208	0.166666667	0.116458333	0.3415975	0.000109009	0.000191978	24.55	0.058	0.03355	2.992	6.803808	0.6655
2021	584	ТТ	40-50	[0]	6.87	8.77	7.4	200.282992	0.08	1.4257	1.061333333	0.173410405	0.111111111	0.104295833	0.3160725	9.55E-05	0.000149877	24.65	0.07	0.02745	2.398	5.453052	0.7717
2021	584	ТТ	50-70	[0]	7.15	8.79	8.4	198.652776	0.06	1.3916	0.926666667	0.216763006	0.138888889	0.141804167	0.5612975	0.000144808	0.000164054	24.7	0.076	0.0305	2.398	5.453052	0.7376
2021	584	ТТ	70-90	[0]	7.2	8.74	8.2	194.930008	0.06	1.0273	1.061333333	0.216763006	0.111111111	0.1343125	0.2621975	0.000164692	0.000196287	24.75	0.068166667	0.03355	1.738	3.952212	0.5533
2021	584	ТТ	90-110	[0]	7.09	8.56	13.4	205.936976	0.07	0.7109	1.192	0.173410405	0.166666667	0.163975	0.2815475	0.000187795	0.000246909	24.85	0.05625	0.02745	1.342	3.051708	0.3449
2021	584	ТТ	110-130	[0]	7.1	8.78	14.8	178.309992	0.06	0.3286	1.058666667	0.216763006	0.166666667	0.141983333	0.235645	0.000128294	0.000185933	24.4	0.0606	0.0244	0.726	1.650924	0.1306
2021	584	ТТ	130-150	[0]	7.16	8.75	19	165.258632	0.07	0.1966	0.927333333	0.238439306	0.125	0.144110417	0.2190075	0.000107979	0.000170859	24.71	0.070333333	0.0244	0.671	1.525854	0.0136
