"Размер агрегатов, мм","Вес, г",Поврторность,Тип обработки,Год,GPS №
>10,1965,[0],ТТ,2019,
10-7,162,[0],ТТ,2019,
7-5,152,[0],ТТ,2019,
5-3,196,[0],ТТ,2019,
3-2,163,[0],ТТ,2019,
2-1,269,[0],ТТ,2019,
1-0.5,305,[0],ТТ,2019,
0.5-0.25,93,[0],ТТ,2019,
<0.25,173,[0],ТТ,2019,
>10,1909,[1],ТТ,2019,
10-7,186,[1],ТТ,2019,
7-5,162,[1],ТТ,2019,
5-3,209,[1],ТТ,2019,
3-2,166,[1],ТТ,2019,
2-1,241,[1],ТТ,2019,
1-0.5,212,[1],ТТ,2019,
0.5-0.25,117,[1],ТТ,2019,
<0.25,149,[1],ТТ,2019,
>10,1260,[2],ТТ,2019,
10-7,229,[2],ТТ,2019,
7-5,194,[2],ТТ,2019,
5-3,278,[2],ТТ,2019,
3-2,225,[2],ТТ,2019,
2-1,604,[2],ТТ,2019,
1-0.5,168,[2],ТТ,2019,
0.5-0.25,259,[2],ТТ,2019,
<0.25,268,[2],ТТ,2019,
>10,1485,[3],ТТ,2019,
10-7,196,[3],ТТ,2019,
7-5,169,[3],ТТ,2019,
5-3,198,[3],ТТ,2019,
3-2,161,[3],ТТ,2019,
2-1,377,[3],ТТ,2019,
1-0.5,176,[3],ТТ,2019,
0.5-0.25,102,[3],ТТ,2019,
<0.25,147,[3],ТТ,2019,
>10,2299,[4],ТТ,2019,
10-7,233,[4],ТТ,2019,
7-5,170,[4],ТТ,2019,
5-3,232,[4],ТТ,2019,
3-2,165,[4],ТТ,2019,
2-1,310,[4],ТТ,2019,
1-0.5,438,[4],ТТ,2019,
0.5-0.25,53,[4],ТТ,2019,
<0.25,54,[4],ТТ,2019,
>10,2519,[0],ПП,2019,
10-7,300,[0],ПП,2019,
7-5,279,[0],ПП,2019,
5-3,395,[0],ПП,2019,
3-2,228,[0],ПП,2019,
2-1,343,[0],ПП,2019,
1-0.5,37,[0],ПП,2019,
0.5-0.25,116,[0],ПП,2019,
<0.25,225,[0],ПП,2019,
>10,1629,[1],ПП,2019,
10-7,254,[1],ПП,2019,
7-5,203,[1],ПП,2019,
5-3,270,[1],ПП,2019,
3-2,162,[1],ПП,2019,
2-1,258,[1],ПП,2019,
1-0.5,28,[1],ПП,2019,
0.5-0.25,64,[1],ПП,2019,
<0.25,72,[1],ПП,2019,
>10,1982,[2],ПП,2019,
10-7,310,[2],ПП,2019,
7-5,278,[2],ПП,2019,
5-3,274,[2],ПП,2019,
3-2,215,[2],ПП,2019,
2-1,349,[2],ПП,2019,
1-0.5,30,[2],ПП,2019,
0.5-0.25,99,[2],ПП,2019,
<0.25,151,[2],ПП,2019,
>10,2165,[3],ПП,2019,
10-7,233,[3],ПП,2019,
7-5,244,[3],ПП,2019,
5-3,236,[3],ПП,2019,
3-2,171,[3],ПП,2019,
2-1,127,[3],ПП,2019,
1-0.5,25,[3],ПП,2019,
0.5-0.25,74,[3],ПП,2019,
<0.25,96,[3],ПП,2019,
>10,1711,[4],ПП,2019,
10-7,209,[4],ПП,2019,
7-5,213,[4],ПП,2019,
5-3,242,[4],ПП,2019,
3-2,185,[4],ПП,2019,
2-1,227,[4],ПП,2019,
1-0.5,85,[4],ПП,2019,
0.5-0.25,78,[4],ПП,2019,
<0.25,71,[4],ПП,2019,
>10,1888,,ТТ,2020,529.0
10-7,203,,ТТ,2020,529.0
7-5,186,,ТТ,2020,529.0
5-3,343,,ТТ,2020,529.0
3-2,418,,ТТ,2020,529.0
2-1,817,,ТТ,2020,529.0
1-0.5,42,,ТТ,2020,529.0
0.5-0.25,28,,ТТ,2020,529.0
<0.25,8,,ТТ,2020,529.0
>10,1526,,ПП,2020,528.0
10-7,200,,ПП,2020,528.0
7-5,152,,ПП,2020,528.0
5-3,274,,ПП,2020,528.0
3-2,151,,ПП,2020,528.0
2-1,320,,ПП,2020,528.0
1-0.5,26,,ПП,2020,528.0
0.5-0.25,58,,ПП,2020,528.0
<0.25,44,,ПП,2020,528.0
>10,3540,,ПП,2020,525.0
10-7,304,,ПП,2020,525.0
7-5,302,,ПП,2020,525.0
5-3,394,,ПП,2020,525.0
3-2,225,,ПП,2020,525.0
2-1,431,,ПП,2020,525.0
1-0.5,50,,ПП,2020,525.0
0.5-0.25,94,,ПП,2020,525.0
<0.25,145,,ПП,2020,525.0
>10,2081,,ПП,2020,527.0
10-7,241,,ПП,2020,527.0
7-5,193,,ПП,2020,527.0
5-3,263,,ПП,2020,527.0
3-2,162,,ПП,2020,527.0
2-1,309,,ПП,2020,527.0
1-0.5,35,,ПП,2020,527.0
0.5-0.25,76,,ПП,2020,527.0
<0.25,119,,ПП,2020,527.0
>10,1442,,ПП,2020,526.0
10-7,357,,ПП,2020,526.0
7-5,278,,ПП,2020,526.0
5-3,320,,ПП,2020,526.0
3-2,150,,ПП,2020,526.0
2-1,324,,ПП,2020,526.0
1-0.5,27,,ПП,2020,526.0
0.5-0.25,47,,ПП,2020,526.0
<0.25,62,,ПП,2020,526.0
