type,Dates,NDVI
PP,2020_10_15,0.19290000000000002
TT,2020_10_15,0.2051
PP,2020_10_31,0.1869
TT,2020_10_31,0.1998
PP,2020_11_16,0.2743
TT,2020_11_16,0.2306
PP,2020_12_02,0.0229
TT,2020_12_02,0.0718
PP,2020_12_18,0.0264
TT,2020_12_18,0.0284
PP,2021_01_01,0.2864
TT,2021_01_01,0.26030000000000003
PP,2021_01_17,0.2393
TT,2021_01_17,0.24450000000000002
PP,2021_02_02,0.21660000000000001
TT,2021_02_02,0.1652
PP,2021_02_18,0.23170000000000002
TT,2021_02_18,-0.0158
PP,2021_03_06,0.2399
TT,2021_03_06,0.20170000000000002
PP,2021_03_22,0.2796
TT,2021_03_22,0.21880000000000002
PP,2021_04_07,0.35860000000000003
TT,2021_04_07,0.2225
PP,2021_04_23,0.7464000000000001
TT,2021_04_23,0.2451
PP,2021_05_09,0.7863
TT,2021_05_09,0.3518
PP,2021_05_25,0.7532
TT,2021_05_25,0.7435
PP,2021_06_10,0.35550000000000004
TT,2021_06_10,0.6906
PP,2021_06_26,0.27890000000000004
TT,2021_06_26,0.45840000000000003
PP,2021_07_12,0.222
TT,2021_07_12,0.267
PP,2021_07_28,0.22340000000000002
TT,2021_07_28,0.19720000000000001
PP,2021_08_13,0.2454
TT,2021_08_13,0.1988
PP,2021_08_29,0.2441
TT,2021_08_29,0.1883
PP,2021_09_14,0.2561
TT,2021_09_14,0.1758
PP,2021_09_30,0.4505
TT,2021_09_30,0.2316
