type,Dates,NDVI
PP,2018_09_30,0.2248
TT,2018_09_30,0.2156
PP,2018_10_16,0.2257
TT,2018_10_16,0.2139
PP,2018_11_01,0.2551
TT,2018_11_01,0.2285
PP,2018_11_17,0.2553
TT,2018_11_17,0.1527
PP,2018_12_03,0.3879
TT,2018_12_03,0.20520000000000002
PP,2018_12_19,0.11960000000000001
TT,2018_12_19,0.0442
PP,2019_01_01,0.0008
TT,2019_01_01,-0.0223
PP,2019_01_17,-0.012700000000000001
TT,2019_01_17,-0.0181
PP,2019_02_02,0.0239
TT,2019_02_02,0.024300000000000002
PP,2019_02_18,0.24020000000000002
TT,2019_02_18,0.2073
PP,2019_03_06,0.2972
TT,2019_03_06,0.2137
PP,2019_03_22,0.3951
TT,2019_03_22,0.2268
PP,2019_04_07,0.5062
TT,2019_04_07,0.258
PP,2019_04_23,0.7914
TT,2019_04_23,0.44820000000000004
PP,2019_05_09,0.879
TT,2019_05_09,0.8092
PP,2019_05_25,0.8416
TT,2019_05_25,0.7160000000000001
PP,2019_06_10,0.4646
TT,2019_06_10,0.5061
PP,2019_06_26,0.2412
TT,2019_06_26,0.29000000000000004
PP,2019_07_12,0.234
TT,2019_07_12,0.198
PP,2019_07_28,0.2318
TT,2019_07_28,0.20320000000000002
PP,2019_08_13,0.2253
TT,2019_08_13,0.20750000000000002
PP,2019_08_29,0.2194
TT,2019_08_29,0.1976
PP,2019_09_14,0.2119
TT,2019_09_14,0.1976
PP,2019_09_30,0.3947
TT,2019_09_30,0.2394
