Год,GPS №,Тип обработки,Глубина,повторность,"рН солевой вытяжки, ед. рН","рН водной вытяжки, ед. рН","Фосфор (подвижная форма), мг/кг","Калий (подвижная форма), млн-1","Общий азот, %","Общий углерод, %","М.д. содержания  гипса (по Хитрову), %","Массовая доля иона хлорида, ммоль/100 г","Массовая доля иона сульфата, ммоль/100 г","Массовая доля магния (водорастворимая форма), ммоль/100 г почвы","Массовая доля кальция (водорастворимая форма), ммоль/100 г почвы","Массовая доля натрия (водорастворимая форма), мг•экв на 100 г почвы","Массовая доля калия (водорастворимая форма), мг•экв на 100 г почвы","Сумма поглощенных оснований по Каппену, ммоль/100 г","Массовая доля плотного остатка водной вытяжки, %","Карбонат и бикарбонат-ионы, ммоль/100 г","Массовая доля общего содержания карбонатов (по Козловскому), % (CO2)","Массовая доля общего содержания карбонатов (по Козловскому), %(CaCO3)","Органический углерод, %"
2021,584,ТТ,0-10,[0],6.69,8.73,23.4,366.273656,0.13,1.6971,0.6573333333333333,0.173410404624278,0.1944444444444444,0.0930708333333333,0.3689475,3.1078750000000015e-05,0.0005518109999999,24.700000000000003,0.0900000000000034,0.03355,1.309,2.976666,1.3401
2021,584,ТТ,10-20,[0],6.73,8.71,21.0,332.802456,0.13,1.6696,1.1933333333333336,0.2167630057803469,0.1388888888888889,0.0925041666666666,0.3339974999999999,2.915250000000001e-05,0.00051909,24.55,0.0679999999999836,0.0305,1.54,3.50196,1.2496
2021,584,ТТ,20-30,[0],6.81,8.91,12.6,283.751496,0.1,1.518,1.1957333333333338,0.1734104046242774,0.0888888888888889,0.0985833333333333,0.3924225,3.659300000000001e-05,0.0003024254999999,24.6,0.1139999999999474,0.02745,1.804,4.102296,1.026
2021,584,ТТ,30-40,[0],6.87,8.66,8.399999999999999,214.485376,0.09,1.4815,1.0586666666666669,0.3034682080924854,0.1666666666666666,0.1164583333333333,0.3415975,0.0001090085,0.0001919775,24.55,0.0580000000000779,0.03355,2.992,6.803808,0.6655000000000001
2021,584,ТТ,40-50,[0],6.87,8.77,7.399999999999999,200.28299199999995,0.08,1.4257,1.0613333333333337,0.1734104046242773,0.1111111111111111,0.1042958333333333,0.3160725,9.55305e-05,0.000149877,24.65,0.07000000000005,0.02745,2.398,5.453052,0.7716999999999999
2021,584,ТТ,50-70,[0],7.15,8.79,8.399999999999999,198.652776,0.06,1.3916,0.9266666666666667,0.2167630057803468,0.1388888888888889,0.1418041666666666,0.5612975000000001,0.000144808,0.0001640535,24.700000000000003,0.0759999999999649,0.0305,2.398,5.453052,0.7375999999999999
2021,584,ТТ,70-90,[0],7.2,8.74,8.2,194.930008,0.06,1.0273,1.0613333333333337,0.2167630057803468,0.1111111111111111,0.1343125,0.2621975,0.0001646915,0.0001962869999999,24.75,0.0681666666666676,0.03355,1.7379999999999998,3.952212,0.5533000000000001
2021,584,ТТ,90-110,[0],7.09,8.56,13.4,205.936976,0.07,0.7109,1.1920000000000004,0.1734104046242773,0.1666666666666666,0.1639749999999999,0.2815474999999999,0.000187795,0.000246909,24.85,0.0562500000000021,0.02745,1.342,3.051708,0.3449
2021,584,ТТ,110-130,[0],7.1,8.78,14.8,178.30999199999997,0.06,0.3286,1.0586666666666669,0.2167630057803468,0.1666666666666666,0.1419833333333333,0.235645,0.000128294,0.0001859325,24.4,0.0606000000000079,0.0244,0.7260000000000002,1.6509240000000005,0.13059999999999994
2021,584,ТТ,130-150,[0],7.16,8.75,19.0,165.258632,0.07,0.1966,0.9273333333333336,0.2384393063583815,0.125,0.1441104166666666,0.2190074999999999,0.00010797925,0.0001708589999999,24.71,0.0703333333333233,0.0244,0.6710000000000002,1.5258540000000005,0.013599999999999973
